::1,1614483155144,20:32:35 GMT-0700 (Mountain Standard Time)
::ffff:174.197.0.143,success,1614827218334,03:06:58 GMT+0000 (Coordinated Universal Time)
::ffff:174.197.0.143,success,1614827282021,03:08:02 GMT+0000 (Coordinated Universal Time)
::ffff:45.56.150.57,success,1614828283532,03:24:43 GMT+0000 (Coordinated Universal Time)
::ffff:162.142.125.40,success,1614830624588,04:03:44 GMT+0000 (Coordinated Universal Time)
::ffff:162.142.125.40,success,1614830625495,04:03:45 GMT+0000 (Coordinated Universal Time)
::ffff:164.52.24.163,success,1614834521459,05:08:41 GMT+0000 (Coordinated Universal Time)
::ffff:209.17.97.18,success,1614835172961,05:19:32 GMT+0000 (Coordinated Universal Time)
::ffff:89.190.156.31,success,1614835741631,05:29:01 GMT+0000 (Coordinated Universal Time)
::ffff:192.241.218.215,success,1614836195222,05:36:35 GMT+0000 (Coordinated Universal Time)
::ffff:45.155.205.225,success,1614837085969,05:51:25 GMT+0000 (Coordinated Universal Time)
::ffff:45.155.205.225,success,1614837087590,05:51:27 GMT+0000 (Coordinated Universal Time)
::ffff:156.146.36.69,success,1614838177029,06:09:37 GMT+0000 (Coordinated Universal Time)
::ffff:36.248.211.71,success,1614842105405,07:15:05 GMT+0000 (Coordinated Universal Time)
::ffff:36.248.211.71,success,1614842108417,07:15:08 GMT+0000 (Coordinated Universal Time)
::ffff:36.248.211.71,success,1614842109753,07:15:09 GMT+0000 (Coordinated Universal Time)
::ffff:193.118.53.194,success,1614842531968,07:22:11 GMT+0000 (Coordinated Universal Time)
}__test|O:21:"JDatabaseDriverMysqli":3:{s:2:"fc";O:17:"JSimplepieFactory":0:{}s:21:"\0\0\0disconnectHandlers";a:1:{i:0;a:2:{i:0;O:9:"SimplePie":5:{s:8:"sanitize";O:20:"JDatabaseDriverMysql":0:{}s:8:"feed_url";s:56:"die(md5(DIRECTORY_SEPARATOR));JFactory::getConfig();exit";s:19:"cache_name_function";s:6:"assert";s:5:"cache";b:1;s:11:"cache_class";O:20:"JDatabaseDriverMysql":0:{}}i:1;s:4:"init";}}s:13:"\0\0\0connection";b:1;}ðýýý,success,1614842652530,07:24:12 GMT+0000 (Coordinated Universal Time)
::ffff:162.142.125.37,success,1614844356464,07:52:36 GMT+0000 (Coordinated Universal Time)
::ffff:162.142.125.37,success,1614844357282,07:52:37 GMT+0000 (Coordinated Universal Time)
::ffff:128.14.136.18,success,1614846031198,08:20:31 GMT+0000 (Coordinated Universal Time)
::ffff:45.71.230.16,success,1614846998239,08:36:38 GMT+0000 (Coordinated Universal Time)
